latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-32.254,-65.416,308.2,1,1,2020-09-02,1425,Terra,MODIS,49,6.0NRT,291.8,5.9,D
-31.834,-68.472,311,1.4,1.2,2020-09-02,1425,Terra,MODIS,65,6.0NRT,293.8,10.3,D
-31.837,-68.457,309.8,1.4,1.2,2020-09-02,1425,Terra,MODIS,63,6.0NRT,293.6,8.7,D
-33.216,-68.349,305.9,1.3,1.1,2020-09-02,1425,Terra,MODIS,56,6.0NRT,292.7,5.4,D
-33.247,-68.415,311.6,1.3,1.1,2020-09-02,1425,Terra,MODIS,69,6.0NRT,294.1,11.1,D
-36.35,-64.773,302,1,1,2020-09-02,1425,Terra,MODIS,27,6.0NRT,288,3.9,D
-36.348,-64.784,310.7,1,1,2020-09-02,1425,Terra,MODIS,70,6.0NRT,287.7,9.4,D
-39.4,-62.8,301.9,1.2,1.1,2020-09-02,1425,Terra,MODIS,49,6.0NRT,287.8,5.5,D
-28.542,-65.762,306.8,1.1,1.1,2020-09-02,1425,Terra,MODIS,37,6.0NRT,293.4,5.5,D
-24.77,-60.269,303.4,1.3,1.1,2020-09-03,0230,Terra,MODIS,55,6.0NRT,281.7,12.3,N
-21.909,-63.268,340.8,1.9,1.3,2020-09-03,0230,Terra,MODIS,100,6.0NRT,283,123,N
-21.907,-63.25,348.4,1.9,1.3,2020-09-03,0230,Terra,MODIS,100,6.0NRT,284.2,158.1,N
-23.804,-64.311,305,2.4,1.5,2020-09-03,0230,Terra,MODIS,33,6.0NRT,280.3,31.8,N
-23.818,-64.309,322.3,2.4,1.5,2020-09-03,0230,Terra,MODIS,100,6.0NRT,281.4,81.3,N
-23.815,-64.286,308.7,2.4,1.5,2020-09-03,0230,Terra,MODIS,64,6.0NRT,280.9,40.6,N
-23.814,-64.326,301.3,2.4,1.5,2020-09-03,0230,Terra,MODIS,40,6.0NRT,280.1,27.9,N
-23.812,-64.303,341.4,2.4,1.5,2020-09-03,0230,Terra,MODIS,100,6.0NRT,282.6,177,N
